Point ID,Density,Energy,Mach,Momentum_0,Momentum_1,Momentum_2,Momentum_Magnitude,Points_0,Points_1,Points_2,Points_Magnitude,Pressure,Pressure_Coefficient,Temperature,Velocity_0,Velocity_1,Velocity_2,Velocity_Magnitude
114,1.05872,805690,3.05279,1110.04,-34.2723,0,1110.57,1.88473,0.0951127,0,1.88713,89286.2,-0.0865987,293.846,1048.47,-32.3713,0,1048.97
115,1.04845,798217,3.0618,1100.3,-37.2462,0,1100.93,1.91619,0.0940942,0,1.9185,88081.5,-0.0952649,292.72,1049.45,-35.5248,0,1050.05
116,1.03837,790871,3.07076,1090.7,-40.1306,0,1091.44,1.94765,0.0929827,0,1.94987,86902.4,-0.103746,291.608,1050.4,-38.6479,0,1051.11
117,1.02847,783657,3.07963,1081.26,-42.9251,0,1082.12,1.9791,0.0917794,0,1.98123,85749.7,-0.112038,290.51,1051.34,-41.737,0,1052.17
118,1.01876,776582,3.08843,1071.99,-45.6292,0,1072.96,2.01056,0.0904854,0,2.01259,84623.8,-0.120137,289.427,1052.25,-44.789,0,1053.2
119,1.00925,769649,3.09713,1062.88,-48.2428,0,1063.98,2.042,0.0891021,0,2.04395,83525.4,-0.128038,288.361,1053.14,-47.8005,0,1054.22
120,0.999958,762863,3.10573,1053.96,-50.766,0,1055.18,2.07345,0.0876308,0,2.0753,82454.8,-0.135739,287.311,1054,-50.7681,0,1055.22
121,0.990875,756230,3.11422,1045.22,-53.1988,0,1046.57,2.10489,0.0860732,0,2.10665,81412.6,-0.143236,286.28,1054.84,-53.6887,0,1056.21
122,0.982011,749753,3.12259,1036.67,-55.5417,0,1038.16,2.13632,0.0844306,0,2.13799,80399.1,-0.150526,285.268,1055.66,-56.5591,0,1057.17
123,0.973371,743436,3.13083,1028.32,-57.795,0,1029.94,2.16775,0.082705,0,2.16933,79414.7,-0.157608,284.276,1056.45,-59.3762,0,1058.12
124,0.964961,737284,3.13892,1020.17,-59.9596,0,1021.93,2.19918,0.0808979,0,2.20067,78459.6,-0.164478,283.305,1057.22,-62.1368,0,1059.04
125,0.956784,731300,3.14687,1012.24,-62.0361,0,1014.14,2.2306,0.0790111,0,2.232,77534.2,-0.171135,282.356,1057.96,-64.8381,0,1059.94
126,0.948845,725487,3.15467,1004.52,-64.0253,0,1006.56,2.26202,0.0770467,0,2.26333,76638.6,-0.177577,281.43,1058.68,-67.4771,0,1060.82
127,0.941148,719848,3.16229,997.022,-65.9283,0,999.199,2.29343,0.0750066,0,2.29466,75773,-0.183804,280.527,1059.37,-70.051,0,1061.68
128,0.933697,714386,3.16974,989.75,-67.7461,0,992.066,2.32484,0.0728928,0,2.32598,74937.6,-0.189813,279.648,1060.03,-72.5568,0,1062.51
129,0.926494,709104,3.17701,982.709,-69.4797,0,985.162,2.35624,0.0707074,0,2.3573,74132.5,-0.195604,278.794,1060.67,-74.992,0,1063.32
130,0.919544,704005,3.18408,975.903,-71.1303,0,978.492,2.38764,0.0684527,0,2.38862,73357.9,-0.201176,277.967,1061.29,-77.3539,0,1064.11
131,0.912848,699090,3.19095,969.337,-72.6992,0,972.059,2.41903,0.0661309,0,2.41993,72613.8,-0.206529,277.165,1061.88,-79.64,0,1064.86
132,0.90641,694362,3.19761,963.013,-74.1876,0,965.866,2.45042,0.0637442,0,2.45125,71900.2,-0.211662,276.391,1062.45,-81.8478,0,1065.6
133,0.900231,689823,3.20406,956.936,-75.5969,0,959.917,2.4818,0.0612952,0,2.48256,71217.3,-0.216575,275.645,1062.99,-83.975,0,1066.3
134,0.894315,685475,3.21028,951.108,-76.9282,0,954.214,2.51318,0.0587862,0,2.51387,70564.9,-0.221267,274.927,1063.51,-86.0192,0,1066.98
135,0.888662,681320,3.21626,945.534,-78.183,0,948.76,2.54455,0.0562197,0,2.54517,69943.2,-0.225739,274.238,1064,-87.9784,0,1067.63
136,0.883275,677358,3.22201,940.215,-79.3626,0,943.558,2.57592,0.0535982,0,2.57648,69352.1,-0.229991,273.578,1064.46,-89.8503,0,1068.25
137,0.878156,673592,3.22751,935.154,-80.4681,0,938.61,2.60729,0.0509244,0,2.60778,68791.6,-0.234023,272.949,1064.91,-91.6331,0,1068.84
138,0.873306,670022,3.23275,930.354,-81.501,0,933.917,2.63865,0.0482009,0,2.63909,68261.7,-0.237835,272.351,1065.32,-93.3247,0,1069.4
139,0.868726,666650,3.23774,925.817,-82.4625,0,929.482,2.67,0.0454303,0,2.67039,67762.3,-0.241427,271.784,1065.72,-94.9236,0,1069.94
140,0.864417,663477,3.24246,921.545,-83.3539,0,925.307,2.70136,0.0426154,0,2.70169,67293.3,-0.244801,271.248,1066.09,-96.4279,0,1070.44
141,0.86038,660504,3.2469,917.54,-84.1763,0,921.393,2.7327,0.039759,0,2.73299,66854.8,-0.247955,270.745,1066.44,-97.8361,0,1070.91
